State,Vehicles,Murder2002,RoundMurder2002,Robbery,FSSGun,PGun2,PBlack,GunMurder,Suicide,GDP,Murder,RoundMurder,PGun,NGun,Pi,Southernness,PUrban,YearAdmitted,TestScore,Pnonwhite,Latitude,Geography,Population,Unfair,ZSouthernness,ZPnonwhite,PercentMurderWithGuns,filter_$,ZPBlack,CultViolence,Poverty,Density,ViolentCrime,Latitude,Longitude
Michigan,870,6.95,7,130,57,9030,14.24,4.2,11,35298,5.6,6,38.4,8776672,6,0,75,1837,499,24,43,0.5,9.9,0,-0.804003020915575,-0.329810007026131,0.777777777777778,1,0.378980770770764,-0.425022250144811,10.6,24.8,751,43.326618,-84.536095
Minnesota,870,2.53,3,76,51,13285,4.57,1,10.8,47028,1.7,2,41.7,4709885,4,0,73,1858,535,17,46,0.25,5.4,0,-0.804003020915575,-0.764282968311477,0.625,1,-0.629923549610606,-1.43392657052618,9.7,606.2,642,45.694454,-93.900192
Mississippi,880,10.67,11,115,80,14165,37.3,4,13.8,28944,5.6,6,55.3,2634960,3,4,49,1817,451,42,33,0.5,3,0,2.02386967333921,0.787406179136188,0.465116279069767,1,2.78490979124588,4.80877946458509,9.2,470.7,689,32.741646,-89.678696
Missouri,830,6.45,6,138,65,14712,11.49,5.4,13.5,36815,7,7,41.7,5318167,3,2,70,1821,502,19,33,0.25,6,0,0.609933326211816,-0.640147836515664,0.818181818181818,1,.0920638234027427,0.701997149614559,10.1,852.1,432,38.456085,-92.288368
Montana,1120,2.52,3,25,67,25745,0.67,1.2,19.4,33204,2.1,2,57.7,878601,8,0,56,1889,529,12,38,0,1,0,-0.804003020915575,-1.07462079780101,0.333333333333333,1,-1.03682394769616,-1.84082696861174,15.2,57.05,483,46.921925,-110.454353
Nebraska,1000,2.89,3,67,58,8081,4.5,1.8,10.2,44943,2.8,3,38.6,1621791,3,0,73,1867,517,18,47,0,1.8,0,-0.804003020915575,-0.702215402413571,0.620689655172414,1,-0.637226890089065,-1.44122991100464,9.5,23.97,302,41.125370,-98.268082
Nevada,500,8.05,8,234,67,10155,9,3.1,18.3,41029,5.9,6,33.8,2398089,2,0,94,1864,477,46,38,0,2.8,0,-0.804003020915575,1.03567644272781,0.516666666666667,1,-0.167726430759575,-0.97172945167515,1.08,11.2,142,38.313515,-117.055374
New Hampshire,830,0.71,1,35,57,14522,1.22,0.4,11.1,42958,1,1,30,1169024,7,0,60,1788,514,8,43,0.5,1.3,0,-0.804003020915575,-1.32289106139264,0.444444444444444,1,-0.97944055822256,-1.78344357913813,11.2,285.3,417,43.452492,-71.563896
New Jersey,690,3.89,4,166,35,1536,14.46,2.8,8.7,49430,4.1,4,12.3,7807202,9,0,95,1787,519,41,40,1,9,0,-0.804003020915575,0.725338613238281,0.717948717948718,1,0.401934126560206,-0.402068894355369,3.58,15.4,275,40.298904,-74.521011
New Mexico,770,8.68,9,147,63,13408,2.97,3.3,20.4,33900,5.7,6,34.8,1828551,5,1,77,1912,468,59,35,0.25,2,0,-.0970348473518794,1.8425547994006,0.6875,1,-0.796857046261092,-0.893891893612971,2.97,17.9,664,34.840515,-106.248482
New York,570,4.85,5,192,37,3047,15.18,2.7,7,53067,4.4,4,18,17207775,4,0,89,1788,498,42,42,1.25,19.7,0,-0.804003020915575,0.787406179136188,0.870967741935484,1,0.477054200052924,-0.326948820862651,9.2,34.3,235,42.165726,-74.948051
North Carolina,670,7.73,8,162,72,9411,21.6,3,11.7,40289,4.7,5,41.3,8467509,4,3,66,1789,497,35,36,1,10,0,1.31690149977551,0.352933217850842,0.588235294117647,1,1.146874855363,2.46377635513851,12,174.8,536,35.630066,-79.806419
North Dakota,1080,1.1,1,10,59,17829,1.08,0.6,14.4,55250,1.3,1,50.7,597261,5,0,60,1889,532,11,48,0,0.8,1,-0.804003020915575,-1.13668836369892,0.2,1,-0.994047239179477,-1.79805026009505,11.1,360.2,723,47.528912,-99.784012
Ohio,910,4.81,5,151,60,8491,12.04,2.7,11,37690,4,4,32.4,10244416,9,1,78,1803,510,19,40,0.5,11.5,0,-.0970348473518794,-0.640147836515664,0.675,1,0.149447212876347,.0524123655244675,15.6,55.22,500,40.388783,-82.764915
Oklahoma,860,5.62,6,80,69,15801,7.96,3,14.7,36252,5,5,42.9,3331200,2,2,66,1907,489,31,36,0,3.8,0,0.609933326211816,0.104662954259215,0.666666666666667,1,-0.276233203582391,0.333700122629426,12.5,35.09,453,35.565342,-96.928917
Oregon,770,3.02,3,80,61,12059,2.01,0.9,15.2,48609,2,2,39.8,3401994,3,0,81,1859,511,21,45,1,3.9,0,-0.804003020915575,-0.516012704719851,0.45,1,-0.897017144251383,-1.70102016516696,11.6,87.26,505,44.572021,-122.070938
Pennsylvania,760,5.19,5,142,55,12449,10.79,3.6,11.2,40063,5.1,5,34.7,11279713,0,1,79,1787,509,20,41,0.5,12.7,0,-.0970348473518794,-0.578080270617757,0.75,1,.0190304186181553,-.0780044287337242,21.6,13.1,466,40.590752,-77.209755
Rhode Island,730,4.03,4,93,36,3504,7.5,1.5,8.7,41678,2.8,3,12.8,934679,7,0,91,1790,489,24,42,1,1,0,-0.804003020915575,-0.329810007026131,0.625,1,-0.324226583869405,-1.12822960478498,9.2,207.3,270,41.680893,-71.511780
South Carolina,770,7.94,8,131,72,11578,28.48,4.5,11.7,31881,6.1,6,42.3,4107323,8,3,66,1788,491,36,34,1,4.8,0,1.31690149977551,0.415000783748748,0.703125,1,1.86468889096008,3.18159039073559,14.8,110,295,33.856892,-80.945007
South Dakota,950,2.89,3,14,63,19062,1.14,1,12.5,43181,1.7,2,56.6,722992,1,0,57,1889,521,15,44,0,0.8,0,-0.804003020915575,-0.88841810010729,0.434782608695652,1,-0.987787233055084,-1.79179025397066,15.9,56.43,529,44.299782,-99.438828
Tennessee,840,8.06,8,178,74,16684,16.78,3.5,13.3,37254,5.6,6,43.9,5635341,6,4,66,1796,476,24,38,0.25,6.5,0,2.02386967333921,-0.329810007026131,0.614035087719298,1,0.64398769670341,2.66785737004262,11.5,231.9,533,35.747845,-86.692345
Texas,720,6.55,7,166,68,9936,11.91,3.2,10.4,46498,5,5,35.9,22329258,4,3,85,1845,503,55,31,1,27,0,1.31690149977551,1.59428453580897,0.727272727272727,1,0.135883866273495,1.45278536604901,1.22,12,137,31.054487,-97.563461
Utah,470,2.32,2,53,59,30315,1.27,0.8,15.4,39158,1.9,2,43.9,2454330,3,0,91,1896,507,20,40,0,2.9,0,-0.804003020915575,-0.578080270617757,0.347826086956522,1,-0.974223886452232,-1.77822690736781,12.6,182.5,334,40.150032,-111.862434
Vermont,910,1.3,1,17.5,67,9366,0.87,0.3,13.8,38198,1.1,1,42,555658,1,0,39,1791,525,6,44,0,0.6,0,-0.804003020915575,-1.44702619318845,0.1875,1,-1.01595726061485,-1.81996028153043,12.6,43.04,118,44.045876,-72.710686
Virginia,840,5.45,5,95.4,68,10134,19.91,3.1,11.2,47127,4.6,5,35.1,7140909,4,3,76,1788,508,35,38,1,8.3,0,1.31690149977551,0.352933217850842,0.75609756097561,1,0.970551349525922,2.28745284930143,14.46,6.8,329,37.769337,-78.169968
Washington,870,3.52,4,99,57,12508,3.74,1.4,13,47146,2.2,2,33.1,5971392,1,0,84,1889, ,27,47,1,7,0,-0.804003020915575,-0.143607309332411,0.56,1,-0.716520300998046,-1.52052332191362,12.3,282.5,343,47.400902,-121.490494
West Virginia,850,5.26,5,39,75,21455,3.58,1.5,15.9,30389,3,3,55.4,1645459,5,2,49,1863,475,7,38,0,1.9,0,0.609933326211816,-1.38495862729054,0.375,1,-0.733213650663094,-0.123280324451278,13.2,244.2,523,38.491226,-80.954453
Wisconsin,860,3.51,4,82,54,8534,6.07,1.7,12.7,39308,2.7,3,44.4,5050044,9,0,70,1848,521,17,44,0.5,5.8,0,-0.804003020915575,-0.764282968311477,0.586206896551724,1,-0.473423396500776,-1.27742641741635,8.6,216.8,273,44.268543,-89.616508
Wyoming,1140,4.6,5,17,74,22827,1.29,0.9,19.7,54305,1.4,1,59.7,500500,2,0,65,1890,514,14,42,0,0.6,0,-0.804003020915575,-0.950485666005197,0.333333333333333,1,-0.972137217744101,-1.77614023865968,16.7,94.65,448,42.755966,-107.302490
